Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Edwards,Illinois,222.42,6395.00,28.75,1965,537,13,667
Spink,South Dakota,1503.93,6376.00,4.24,2811,818,26,1078
Norman,Minnesota,872.79,6375.00,7.30,2683,491,9,581
Galax city,Virginia,8.24,6347.00,770.27,190,1013,48,1493
Rio Blanco,Colorado,3220.93,6324.00,1.96,2991,503,4,543
Woodruff,Arkansas,586.79,6320.00,10.77,2543,633,12,753
Antelope,Nebraska,857.22,6298.00,7.35,2680,485,6,545
Bottineau,North Dakota,1668.42,6282.00,3.77,2851,698,20,898
Bland,Virginia,357.73,6280.00,17.56,2323,631,10,731
Reynolds,Missouri,808.48,6270.00,7.76,2662,466,4,506
Gilpin,Colorado,149.90,6243.00,41.65,1630,184,3,214
Broadwater,Montana,1192.54,6237.00,5.23,2766,427,5,477
Luce,Michigan,899.08,6229.00,6.93,2695,1099,2,1119
Garza,Texas,893.41,6229.00,6.97,2693,377,22,597
Wilkin,Minnesota,750.96,6207.00,8.27,2641,708,11,818
Prince of Wales-Hyder Census Area,Alaska,2870.34,6203.00,2.16,2970,77,1,87
Clay,Nebraska,572.29,6203.00,10.84,2542,672,11,782
Talbot,Georgia,391.39,6195.00,15.83,2371,463,17,633
Calhoun,Georgia,280.37,6189.00,22.07,2167,567,14,707
Hamlin,South Dakota,507.23,6164.00,12.15,2503,737,38,1117
Essex,Vermont,663.60,6163.00,9.29,2596,200,1,210
Teton,Montana,2272.38,6147.00,2.71,2926,434,5,484
Bear Lake,Idaho,974.79,6125.00,6.28,2720,365,2,385
Taylor,Iowa,531.90,6121.00,11.51,2521,642,12,762
Ellsworth,Kansas,715.85,6102.00,8.52,2626,1213,4,1253
Sullivan,Missouri,647.98,6089.00,9.40,2590,852,14,992
Sullivan,Pennsylvania,449.94,6066.00,13.48,2447,338,20,538
Crowley,Colorado,787.42,6061.00,7.70,2665,2124,14,2264
San Saba,Texas,1135.30,6055.00,5.33,2758,798,23,1028
Jefferson,Oklahoma,758.83,6002.00,7.91,2657,675,12,795
Gray,Kansas,868.87,5988.00,6.89,2697,604,14,744
Greenwood,Kansas,1143.30,5982.00,5.23,2765,589,8,669
Carter,Missouri,507.36,5982.00,11.79,2513,537,9,627
Mitchell,Kansas,701.79,5979.00,8.52,2628,560,0,560
Grant,Minnesota,548.16,5972.00,10.89,2539,500,8,580
Fulton,Kentucky,205.50,5969.00,29.05,1951,489,12,609
Osceola,Iowa,398.68,5958.00,14.94,2399,691,15,841
Lynn,Texas,891.87,5951.00,6.67,2706,610,23,840
Shelby,Missouri,500.86,5930.00,11.84,2509,517,7,587
Carson,Texas,920.22,5926.00,6.44,2714,410,14,550
Stanton,Nebraska,427.95,5920.00,13.83,2436,355,9,445
Sherman,Kansas,1056.07,5917.00,5.60,2749,619,7,689
Pondera,Montana,1622.86,5911.00,3.64,2858,457,3,487
Dewey,South Dakota,2302.49,5892.00,2.56,2942,1435,26,1695
Ohio,Indiana,86.14,5875.00,68.20,1197,544,11,654
Van Buren,Tennessee,273.42,5872.00,21.48,2191,807,20,1007
Wirt,West Virginia,232.51,5821.00,25.04,2058,365,3,395
Martin,Texas,1139.43,5771.00,5.06,2772,614,18,794
Alexander,Illinois,235.51,5761.00,24.46,2082,453,10,553
McHenry,North Dakota,1873.95,5745.00,3.07,2905,611,22,831
Putnam,Illinois,160.16,5739.00,35.83,1779,430,4,470
Crosby,Texas,900.20,5737.00,6.37,2717,529,28,809
Ontonagon,Michigan,1311.23,5720.00,4.36,2803,427,21,637
Miller,Georgia,282.42,5718.00,20.25,2232,814,12,934
Greer,Oklahoma,639.32,5712.00,8.93,2611,567,17,737
Floyd,Texas,992.14,5712.00,5.76,2744,773,29,1063
Ottawa,Kansas,720.73,5704.00,7.91,2656,547,0,547
Alfalfa,Oklahoma,866.46,5702.00,6.58,2708,1150,5,1200
Lincoln,Colorado,2577.63,5701.00,2.21,2966,1002,4,1042
Cherry,Nebraska,5960.42,5689.00,0.95,3080,271,6,331
Iron,Wisconsin,758.17,5687.00,7.50,2675,677,40,1077
Cotton,Oklahoma,632.65,5666.00,8.96,2609,659,14,799
Haskell,Texas,903.13,5658.00,6.26,2721,436,26,696
Lincoln,Minnesota,536.76,5639.00,10.51,2549,520,2,540
Dixon,Nebraska,476.23,5636.00,11.83,2510,582,8,662
Chouteau,Montana,3972.49,5635.00,1.42,3037,493,5,543
Aleutians West Census Area,Alaska,4390.28,5634.00,1.28,3050,645,0,645
Morris,Kansas,695.28,5620.00,8.08,2646,602,21,812
McCook,South Dakota,1136.64,5586.00,4.91,2780,770,24,1010
Bent,Colorado,1512.86,5577.00,3.69,2855,1484,21,1694
Hartley,Texas,1462.03,5576.00,3.81,2849,605,2,625
Covington city,Virginia,5.47,5538.00,1012.43,147,563,12,683
Lander,Nevada,5490.11,5532.00,1.01,3074,444,9,534
Mahnomen,Minnesota,491.47,5527.00,11.25,2530,453,7,523
Audubon,Iowa,442.96,5496.00,12.41,2491,478,9,568
Coal,Oklahoma,516.68,5495.00,10.64,2547,686,14,826
Stevens,Kansas,727.29,5485.00,7.54,2672,580,7,650
Cook,Minnesota,1452.28,5463.00,3.76,2852,134,0,134
Fillmore,Nebraska,575.37,5462.00,9.49,2585,474,10,574
Tripp,South Dakota,1612.45,5441.00,3.37,2878,727,16,887
Harper,Kansas,801.27,5436.00,6.78,2702,619,17,789
Walworth,South Dakota,708.63,5435.00,7.67,2666,740,15,890
Day,South Dakota,1027.87,5424.00,5.28,2760,681,29,971
Washington,Kansas,894.76,5406.00,6.04,2734,530,9,620
Hansford,Texas,919.81,5399.00,5.87,2741,825,23,1055
Lincoln,Idaho,1201.41,5366.00,4.47,2799,489,11,599
Norton,Kansas,878.13,5361.00,6.11,2728,1218,27,1488
Emporia city,Virginia,6.89,5346.00,775.91,188,641,41,1051
Stark,Illinois,288.08,5342.00,18.54,2294,552,23,782
Pulaski,Illinois,199.19,5335.00,26.78,2018,674,7,744
Delta,Texas,256.83,5331.00,20.76,2219,306,11,416
Beaver,Oklahoma,1814.67,5311.00,2.93,2914,453,6,513
Brule,South Dakota,817.24,5297.00,6.48,2711,700,9,790
Schley,Georgia,166.91,5257.00,31.50,1881,335,4,375
Warren,Georgia,284.30,5254.00,18.48,2296,510,15,660
Sheridan,Nebraska,2440.86,5246.00,2.15,2974,489,19,679
Phillips,Kansas,885.88,5234.00,5.91,2738,712,19,902
Yukon-Koyukuk Census Area,Alaska,145504.79,5230.00,0.04,3139,343,4,383
Ransom,North Dakota,862.36,5218.00,6.05,2733,627,17,797
Polk,Nebraska,438.35,5213.00,11.89,2507,576,18,756
Jim Hogg,Texas,1136.14,5200.00,4.58,2795,605,15,755
Boone,Nebraska,686.55,5192.00,7.56,2669,542,5,592
Calhoun,Arkansas,628.58,5189.00,8.26,2642,408,3,438
Lincoln,Nevada,10633.20,5183.00,0.49,3114,354,1,364
Atchison,Missouri,547.30,5143.00,9.40,2589,433,6,493
Craig,Virginia,329.53,5131.00,15.57,2379,255,5,305
Johnson,Nebraska,376.05,5071.00,13.48,2446,635,8,715
Custer,Colorado,738.63,5068.00,6.86,2699,165,1,175
Wheeler,Texas,914.52,5056.00,5.53,2751,484,10,584
Garfield,Utah,5175.12,5051.00,0.98,3078,457,9,547
Pickett,Tennessee,162.98,5048.00,30.97,1902,751,23,981
Thayer,Nebraska,573.81,5003.00,8.72,2619,480,4,520
Big Stone,Minnesota,499.02,4991.00,10.00,2567,533,4,573
Ouray,Colorado,541.59,4952.00,9.14,2599,267,3,297
Scott,Illinois,250.91,4951.00,19.73,2250,452,1,462
Kingsbury,South Dakota,832.24,4939.00,5.93,2736,668,14,808
Hyde,North Carolina,612.70,4937.00,8.06,2647,630,8,710
Marshall,South Dakota,574.20,4935.00,8.59,2623,359,6,419
Rooks,Kansas,890.53,4920.00,5.52,2752,653,10,753
Dillingham Census Area,Alaska,18568.78,4916.00,0.26,3130,207,1,217
Washington,Colorado,2518.03,4908.00,1.95,2996,428,12,548
Scotland,Missouri,436.67,4902.00,11.23,2531,304,3,334
Ringgold,Iowa,535.50,4894.00,9.14,2600,517,22,737
Dewey,Oklahoma,999.48,4891.00,4.89,2782,538,6,598
Hudspeth,Texas,4570.98,4886.00,1.07,3067,508,11,618
Mills,Texas,748.26,4873.00,6.51,2709,647,20,847
Dickey,North Dakota,1131.47,4872.00,4.31,2808,747,32,1067
Gallatin,Illinois,323.07,4828.00,14.94,2400,446,5,496
Scott,Kansas,717.54,4823.00,6.72,2705,608,21,818
Crane,Texas,785.07,4797.00,6.11,2726,513,12,633
Carlisle,Kentucky,189.43,4760.00,25.13,2056,452,8,532
Calhoun,Illinois,253.83,4739.00,18.67,2289,497,5,547
Toole,Montana,1915.65,4736.00,2.47,2950,706,10,806
Putnam,Missouri,517.32,4696.00,9.08,2604,293,4,333
Furnas,Nebraska,719.13,4676.00,6.50,2710,496,4,536
Schuyler,Missouri,307.30,4660.00,15.16,2392,328,5,378
Morrill,Nebraska,1423.84,4642.00,3.26,2886,492,15,642
Republic,Kansas,717.37,4636.00,6.46,2713,680,15,830
Musselshell,Montana,1868.16,4633.00,2.48,2949,315,8,395
Menominee,Wisconsin,357.61,4556.00,12.74,2471,798,11,908
Oneida,Idaho,1200.06,4531.00,3.78,2850,337,4,377
Mora,New Mexico,1931.27,4521.00,2.34,2958,168,6,228
Mineral,Nevada,3752.84,4505.00,1.20,3054,305,7,375
Wahkiakum,Washington,263.38,4488.00,17.04,2338,101,0,101
Cameron,Pennsylvania,396.23,4447.00,11.22,2532,267,6,327
Barber,Kansas,1134.07,4427.00,3.90,2837,368,2,388
Dunn,North Dakota,2008.46,4424.00,2.20,2968,368,7,438
Hamilton,New York,1717.37,4416.00,2.57,2940,290,2,310
Owsley,Kentucky,197.41,4415.00,22.36,2162,454,10,554
Hot Springs,Wyoming,2004.09,4413.00,2.20,2969,363,3,393
Holt,Missouri,462.69,4403.00,9.52,2583,423,10,523
Mineral,Montana,1219.44,4397.00,3.61,2861,248,0,248
Hickman,Kentucky,242.27,4380.00,18.08,2309,336,9,426
Deuel,South Dakota,622.69,4351.00,6.99,2691,487,8,567
Kimble,Texas,1250.99,4337.00,3.47,2872,259,6,319
Tensas,Louisiana,602.78,4334.00,7.19,2687,357,7,427
Grant,Oklahoma,1000.87,4333.00,4.33,2806,543,7,613
Sharkey,Mississippi,431.72,4321.00,10.01,2566,492,17,662
Custer,Idaho,4920.94,4315.00,0.88,3087,238,3,268
Guadalupe,New Mexico,3030.48,4300.00,1.42,3036,617,9,707
Kittson,Minnesota,1098.80,4298.00,3.91,2836,422,22,642
Florence,Wisconsin,488.20,4295.00,8.80,2615,474,12,594
Adams,Idaho,1363.06,4294.00,3.15,2897,332,4,372
Mason,Texas,466.07,4274.00,9.17,2597,393,6,453
Phillips,Colorado,687.93,4265.00,6.20,2723,346,13,476
Sioux,North Dakota,1094.09,4230.00,3.87,2843,642,11,752
Hidalgo,New Mexico,3436.86,4198.00,1.22,3052,351,9,441
Gregory,South Dakota,1014.96,4185.00,4.12,2822,566,30,866
Pope,Illinois,368.77,4177.00,11.33,2526,293,3,323
Valley,Nebraska,568.05,4158.00,7.32,2682,314,3,344
Stafford,Kansas,792.05,4156.00,5.25,2763,349,9,439
Nuckolls,Nebraska,575.16,4148.00,7.21,2686,408,1,418
Bath,Virginia,529.16,4147.00,7.84,2661,248,10,348
Storey,Nevada,262.92,4123.00,15.68,2376,84,3,114
Corson,South Dakota,2469.69,4086.00,1.65,3017,474,12,594
Union,New Mexico,3823.74,4059.00,1.06,3068,411,9,501
Red Lake,Minnesota,432.41,4055.00,9.38,2592,371,5,421
LaMoure,North Dakota,1145.94,4046.00,3.53,2869,502,17,672
Meade,Kansas,978.09,4033.00,4.12,2821,503,10,603
Tyrrell,North Carolina,389.04,4016.00,10.32,2557,306,6,366
Echols,Georgia,414.89,4006.00,9.66,2578,460,8,540
Columbia,Washington,868.63,3985.00,4.59,2794,116,4,156
Norton city,Virginia,7.48,3981.00,532.22,255,247,6,307
Pierce,North Dakota,1018.60,3975.00,3.90,2838,531,25,781
Haskell,Kansas,577.52,3968.00,6.87,2698,413,1,423
Knox,Missouri,504.01,3959.00,7.86,2659,359,2,379
Phillips,Montana,5140.04,3954.00,0.77,3097,515,15,665
Hardeman,Texas,695.11,3933.00,5.66,2748,367,12,487
Chase,Nebraska,894.42,3924.00,4.39,2802,451,3,481
Sargent,North Dakota,858.51,3898.00,4.54,2796,437,6,497
Costilla,Colorado,1226.95,3887.00,3.17,2892,197,2,217
Ellis,Oklahoma,1231.52,3859.00,3.13,2900,353,3,383
Reagan,Texas,1175.30,3849.00,3.27,2883,376,8,456
Lewis,Idaho,478.80,3838.00,8.02,2649,383,8,463
Kearny,Kansas,870.54,3838.00,4.41,2800,560,9,650
Wells,North Dakota,1271.05,3834.00,3.02,2907,433,8,513
Fisher,Texas,898.94,3830.00,4.26,2810,290,14,430
Edmunds,South Dakota,1125.96,3829.00,3.40,2877,488,13,618
Hardin,Illinois,177.53,3821.00,21.52,2190,357,12,477
Hemphill,Texas,906.29,3819.00,4.21,2815,546,2,566
Lyman,South Dakota,1641.94,3781.00,2.30,2960,610,10,710
Sutton,Texas,1453.93,3776.00,2.60,2937,472,8,552
Cavalier,North Dakota,1488.75,3762.00,2.53,2947,420,5,470
Lake of the Woods,Minnesota,1297.87,3740.00,2.88,2916,243,1,253
Sweet Grass,Montana,1855.21,3737.00,2.01,2984,379,7,449
Clark,South Dakota,957.60,3736.00,3.90,2839,391,5,441
Harper,Oklahoma,1039.02,3688.00,3.55,2865,409,4,449
Kinney,Texas,1360.06,3667.00,2.70,2927,338,6,398
Knox,Texas,850.62,3664.00,4.31,2807,254,15,404
Upton,Texas,1241.32,3657.00,2.95,2912,377,9,467
Kimball,Nebraska,951.85,3632.00,3.82,2848,412,7,482
Mercer,Missouri,453.84,3617.00,7.97,2652,303,2,323
Adams,Iowa,423.44,3602.00,8.51,2629,319,4,359
Smith,Kansas,895.47,3583.00,4.00,2832,271,2,291
Roger Mills,Oklahoma,1141.14,3583.00,3.14,2899,385,8,465
Baca,Colorado,2554.97,3581.00,1.40,3040,276,4,316
Catron,New Mexico,6923.69,3527.00,0.51,3113,82,5,132
Nance,Nebraska,441.63,3519.00,7.97,2653,386,10,486
Baylor,Texas,867.48,3509.00,4.05,2830,293,11,403
Webster,Nebraska,574.91,3487.00,6.07,2730,323,4,363
Crockett,Texas,2807.33,3464.00,1.23,3051,574,15,724
Hanson,South Dakota,434.51,3453.00,7.95,2655,374,4,414
Real,Texas,699.20,3452.00,4.94,2778,306,12,426
Osborne,Kansas,892.50,3421.00,3.83,2846,288,0,288
Coke,Texas,911.47,3387.00,3.72,2854,441,11,551
Harlan,Nebraska,553.47,3380.00,6.11,2727,212,0,212
Granite,Montana,1727.42,3379.00,1.96,2993,188,2,208
Bennett,South Dakota,1184.71,3365.00,2.84,2919,385,9,475
Jackson,South Dakota,1863.91,3344.00,1.79,3006,284,14,424
Aleutians East Borough,Alaska,6981.94,3337.00,0.48,3118,363,2,383
Sheridan,Montana,1677.08,3309.00,1.97,2989,408,5,458
Donley,Texas,926.89,3278.00,3.54,2868,351,15,501
Petersburg Borough,Alaska,3922.87,3266.00,0.83,3091,145,0,145
Shackelford,Texas,914.29,3265.00,3.57,2862,254,4,294
Traverse,Minnesota,573.90,3259.00,5.68,2747,333,5,383
Chautauqua,Kansas,638.88,3250.00,5.09,2771,264,3,294
Emmons,North Dakota,1510.44,3241.00,2.15,2975,409,13,539
Lipscomb,Texas,932.18,3233.00,3.47,2871,302,12,422
Foster,North Dakota,635.45,3210.00,5.05,2774,571,19,761
Hand,South Dakota,1436.61,3191.00,2.22,2965,356,6,416
Woodson,Kansas,497.82,3138.00,6.30,2719,207,0,207
Stanley,South Dakota,1444.43,3098.00,2.14,2976,339,2,359
Baker,Georgia,341.94,3038.00,8.88,2612,223,9,313
Rush,Kansas,717.76,3036.00,4.23,2814,428,0,428
Bowman,North Dakota,1161.81,3024.00,2.60,2936,400,5,450
Sherman,Texas,923.04,3022.00,3.27,2884,201,12,321
Sierra,California,953.21,3005.00,3.15,2895,49,0,49
Sherman,Nebraska,565.83,3001.00,5.30,2759,187,4,227
Franklin,Nebraska,575.82,2979.00,5.17,2768,234,3,264
Glascock,Georgia,143.74,2971.00,20.67,2222,263,18,443
Hall,Texas,883.49,2964.00,3.35,2879,425,14,565
Lincoln,Kansas,719.40,2962.00,4.12,2824,257,4,297
Brown,Nebraska,1221.33,2955.00,2.42,2953,216,2,236
Douglas,South Dakota,431.80,2921.00,6.76,2703,437,9,527
Collingsworth,Texas,918.44,2920.00,3.18,2890,269,9,359
Perkins,Nebraska,883.34,2891.00,3.27,2885,273,11,383
Jewell,Kansas,909.78,2879.00,3.16,2893,206,3,236
Nelson,North Dakota,981.78,2879.00,2.93,2913,451,14,591
Perkins,South Dakota,861.14,2865.00,3.33,2880,349,14,489
Cochran,Texas,775.15,2853.00,3.68,2856,257,14,397
Fallon,Montana,1620.77,2846.00,1.76,3011,278,2,298
Clay,Georgia,195.38,2834.00,14.51,2416,231,3,261
Decatur,Kansas,893.52,2827.00,3.16,2894,263,1,273
Trego,Kansas,889.48,2803.00,3.15,2896,407,3,437
Edwards,Kansas,621.89,2798.00,4.50,2797,262,0,262
Logan,Kansas,1072.99,2794.00,2.60,2935,292,0,292
Schleicher,Texas,1310.63,2793.00,2.13,2979,233,6,293
Hitchcock,Nebraska,709.94,2762.00,3.89,2840,238,4,278
Ziebach,South Dakota,1961.27,2756.00,1.41,3039,337,9,427
Aurora,South Dakota,708.43,2751.00,3.88,2842,455,15,605
Ness,Kansas,1074.75,2750.00,2.56,2944,368,15,518
Yakutat plus Hoonah-Angoon,Alaska,15174.38,2727.00,0.18,3134,69,1,79
Concho,Texas,983.80,2726.00,2.77,2923,359,8,439
Wayne,Utah,2460.68,2711.00,1.10,3061,125,0,125
Cheyenne,Kansas,1019.89,2657.00,2.61,2934,357,10,457
Harmon,Oklahoma,537.19,2653.00,4.94,2777,294,3,324
Chase,Kansas,773.06,2648.00,3.43,2875,286,3,316
Gove,Kansas,1071.67,2636.00,2.46,2951,385,22,605
Frontier,Nebraska,974.59,2627.00,2.70,2928,189,1,199
Pawnee,Nebraska,431.08,2613.00,6.06,2732,228,1,238
Webster,Georgia,209.12,2607.00,12.47,2485,139,4,179
Butte,Idaho,2231.67,2597.00,1.16,3058,201,1,211
Morton,Kansas,729.73,2587.00,3.55,2866,254,9,344
Hamilton,Kansas,996.51,2539.00,2.55,2945,201,0,201
Haines Borough,Alaska,2318.60,2530.00,1.09,3062,25,0,25
Elk,Kansas,644.27,2530.00,3.93,2834,178,0,178
Rawlins,Kansas,1069.42,2530.00,2.37,2956,360,7,430
Sheridan,Kansas,895.96,2521.00,2.81,2921,432,0,432
Wrangell City and Borough,Alaska,2541.48,2502.00,0.98,3077,29,0,29
Hettinger,North Dakota,1132.22,2499.00,2.21,2967,322,4,362
McIntosh,North Dakota,974.73,2497.00,2.56,2941,324,7,394
Rich,Utah,1028.78,2483.00,2.41,2954,139,0,139
Graham,Kansas,898.52,2482.00,2.76,2924,250,2,270
Kidder,North Dakota,1351.19,2480.00,1.84,3004,256,10,356
Kiowa,Kansas,722.64,2475.00,3.42,2876,266,5,316
Bristol Bay plus Lake and Peninsula,Alaska,25111.74,2428.00,0.10,3137,176,0,176
McPherson,South Dakota,838.07,2379.00,2.84,2920,240,4,280
Greeley,Nebraska,569.81,2356.00,4.13,2820,210,2,230
Niobrara,Wyoming,2626.04,2356.00,0.90,3085,150,2,170
Sanborn,South Dakota,2093.90,2344.00,1.12,3059,335,3,365
Liberty,Montana,1430.05,2337.00,1.63,3020,117,1,127
Renville,North Dakota,877.05,2327.00,2.65,2933,309,13,439
Quitman,Georgia,151.24,2299.00,15.20,2391,159,1,169
Faulk,South Dakota,981.75,2299.00,2.34,2957,363,13,493
Eddy,North Dakota,630.17,2287.00,3.63,2860,461,6,521
Grant,North Dakota,1659.14,2274.00,1.37,3043,187,7,257
Jeff Davis,Texas,2264.56,2274.00,1.00,3075,183,4,223
Divide,North Dakota,1260.79,2264.00,1.80,3005,172,2,192
Sedgwick,Colorado,548.04,2248.00,4.10,2825,198,2,218
Griggs,North Dakota,708.82,2231.00,3.15,2898,308,2,328
Garfield,Washington,710.69,2225.00,3.13,2901,119,5,169
Adams,North Dakota,987.62,2216.00,2.24,2963,267,3,297
Miner,South Dakota,570.31,2216.00,3.89,2841,282,9,372
Dickens,Texas,901.72,2211.00,2.45,2952,157,10,257
Highland,Virginia,415.16,2190.00,5.28,2761,98,1,108
Towner,North Dakota,1024.56,2189.00,2.14,2978,301,11,411
Culberson,Texas,3812.80,2171.00,0.57,3109,351,8,431
Potter,South Dakota,1101.04,2153.00,1.96,2994,384,4,424
Menard,Texas,902.03,2138.00,2.37,2955,207,9,297
Cimarron,Oklahoma,1834.74,2137.00,1.16,3057,203,1,213
Wheatland,Montana,1423.20,2126.00,1.49,3032,175,7,245
Wichita,Kansas,718.57,2119.00,2.95,2910,216,0,216
Keweenaw,Michigan,540.11,2116.00,3.92,2835,152,2,172
Burke,North Dakota,1103.57,2115.00,1.92,2998,229,1,239
Oldham,Texas,1500.53,2112.00,1.41,3038,245,4,285
Robertson,Kentucky,99.91,2108.00,21.10,2205,197,14,337
Denali Borough,Alaska,12751.41,2097.00,0.16,3135,78,0,78
Mellette,South Dakota,1307.31,2061.00,1.58,3025,255,2,275
Dolores,Colorado,1067.05,2055.00,1.93,2997,67,0,67
Eureka,Nevada,4175.68,2029.00,0.49,3115,50,0,50
Worth,Missouri,266.61,2013.00,7.55,2671,163,1,173
Jerauld,South Dakota,526.23,2013.00,3.83,2847,275,16,435
Judith Basin,Montana,1869.82,2007.00,1.07,3066,88,1,98
Stanton,Kansas,680.35,2006.00,2.95,2911,184,2,204
Clark,Kansas,974.63,1994.00,2.05,2982,247,4,287
Gosper,Nebraska,458.16,1990.00,4.34,2804,180,4,220
Garfield,Nebraska,569.79,1969.00,3.46,2874,145,3,175
Buffalo,South Dakota,471.38,1962.00,4.16,2819,422,13,552
Oliver,North Dakota,722.51,1959.00,2.71,2925,154,3,184
Edwards,Texas,2117.86,1932.00,0.91,3084,246,4,286
Boyd,Nebraska,539.94,1919.00,3.55,2864,173,3,203
Gilliam,Oregon,1204.81,1912.00,1.59,3022,54,1,64
Haakon,South Dakota,1810.53,1899.00,1.05,3069,260,10,360
Steele,North Dakota,712.22,1890.00,2.65,2932,174,2,194
Armstrong,Texas,909.11,1887.00,2.08,2981,151,6,211
Meagher,Montana,2391.91,1862.00,0.78,3095,125,7,195
Logan,North Dakota,992.82,1850.00,1.86,3002,220,8,300
Garden,Nebraska,1704.28,1837.00,1.08,3065,111,1,121
Cheyenne,Colorado,1778.28,1831.00,1.03,3071,126,6,186
Hodgeman,Kansas,859.99,1794.00,2.09,2980,208,7,278
Deuel,Nebraska,439.85,1794.00,4.08,2826,100,2,120
Sherman,Oregon,823.69,1780.00,2.16,2971,53,0,53
Golden Valley,North Dakota,1000.79,1761.00,1.76,3009,249,2,269
De Baca,New Mexico,2322.62,1748.00,0.75,3098,133,1,143
Comanche,Kansas,788.30,1700.00,2.16,2972,162,9,252
Dundy,Nebraska,919.68,1693.00,1.84,3003,178,4,218
Daniels,Montana,1426.11,1690.00,1.19,3055,197,7,267
Powder River,Montana,3297.30,1682.00,0.51,3112,117,6,177
McCone,Montana,3587.48,1664.00,0.46,3119,182,1,192
Briscoe,Texas,900.00,1546.00,1.72,3014,138,5,188
Taliaferro,Georgia,194.61,1537.00,7.90,2658,120,3,150
Irion,Texas,1051.56,1536.00,1.46,3035,121,1,131
Lane,Kansas,717.46,1535.00,2.14,2977,143,5,193
Wallace,Kansas,913.65,1518.00,1.66,3016,177,0,177
Throckmorton,Texas,912.55,1501.00,1.64,3018,73,5,123
Piute,Utah,757.79,1479.00,1.95,2995,100,2,120
Glasscock,Texas,900.22,1409.00,1.57,3026,99,2,119
Kiowa,Colorado,1767.77,1406.00,0.80,3094,91,3,121
Cottle,Texas,900.56,1398.00,1.55,3027,190,7,260
Jackson,Colorado,1613.72,1392.00,0.86,3088,52,0,52
Sully,South Dakota,1006.82,1391.00,1.38,3042,137,3,167
Campbell,South Dakota,733.68,1376.00,1.88,3000,131,4,171
Rock,Nebraska,1008.32,1357.00,1.35,3047,102,2,122
Stonewall,Texas,916.31,1350.00,1.47,3034,156,6,216
Wheeler,Oregon,1714.75,1332.00,0.78,3096,25,1,35
Issaquena,Mississippi,413.05,1327.00,3.21,2889,168,6,228
Sheridan,North Dakota,972.38,1315.00,1.35,3046,105,2,125
Hyde,South Dakota,860.52,1301.00,1.51,3030,139,1,149
Harding,South Dakota,2671.38,1298.00,0.49,3116,92,1,102
Sterling,Texas,923.45,1291.00,1.40,3041,107,4,147
Garfield,Montana,4675.36,1258.00,0.27,3129,78,2,98
Carter,Montana,3340.75,1252.00,0.37,3121,146,5,196
Greeley,Kansas,778.45,1232.00,1.58,3023,102,0,102
Motley,Texas,989.56,1200.00,1.21,3053,86,8,166
Skagway Municipality,Alaska,24768.81,1183.00,0.05,3138,19,0,19
Sioux,Nebraska,2066.74,1166.00,0.56,3110,36,0,36
Foard,Texas,704.40,1155.00,1.64,3019,120,9,210
Alpine,California,738.33,1129.00,1.53,3029,82,0,82
Camas,Idaho,1074.49,1106.00,1.03,3072,71,0,71
Prairie,Montana,1736.74,1077.00,0.62,3106,131,2,151
Wibaux,Montana,889.27,969.00,1.09,3063,119,6,179
Daggett,Utah,696.98,950.00,1.36,3044,37,0,37
Billings,North Dakota,1148.85,928.00,0.81,3092,53,0,53
Hayes,Nebraska,713.06,922.00,1.29,3049,58,0,58
Jones,South Dakota,969.68,903.00,0.93,3082,88,0,88
Esmeralda,Nevada,3581.88,873.00,0.24,3132,37,0,37
Roberts,Texas,924.06,854.00,0.92,3083,59,1,69
Clark,Idaho,1764.19,845.00,0.48,3117,56,0,56
Golden Valley,Montana,1175.34,821.00,0.70,3103,53,2,73
Hinsdale,Colorado,1117.25,820.00,0.73,3099,17,0,17
Keya Paha,Nebraska,773.07,806.00,1.04,3070,51,0,51
Wheeler,Nebraska,575.18,783.00,1.36,3045,38,0,38
Terrell,Texas,2358.03,776.00,0.33,3123,74,2,94
Mineral,Colorado,875.67,769.00,0.88,3086,85,1,95
Kent,Texas,902.51,762.00,0.84,3090,96,2,116
Slope,North Dakota,1214.92,750.00,0.62,3107,31,0,31
Logan,Nebraska,570.66,748.00,1.31,3048,79,0,79
